OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(800588k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8a870,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7651K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 853K, capacity 948K, committed 1024K, reserved 1048576K
.775: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133104K->2024K(316928K), 0.0020652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.455: [GC (Allocation Failure) [PSYoungGen: 142880K->32K(138752K)] 145136K->2288K(313856K), 0.0005396 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.556: [GC (Allocation Failure) [PSYoungGen: 138272K->96K(134144K)] 140528K->2352K(309248K), 0.0006595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.656: [GC (Allocation Failure) [PSYoungGen: 133728K->0K(130048K)] 135984K->2256K(305152K), 0.0005715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.752: [GC (Allocation Failure) [PSYoungGen: 129536K->96K(125952K)] 131792K->2352K(301056K), 0.0005680 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.854: [GC (Allocation Failure) [PSYoungGen: 125536K->32K(121856K)] 127792K->2288K(296960K), 0.0025795 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.975: [GC (Allocation Failure) [PSYoungGen: 121376K->32K(118272K)] 123632K->2288K(293376K), 0.0007869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.121: [GC (Allocation Failure) [PSYoungGen: 117792K->96K(114688K)] 120048K->2352K(289792K), 0.0006156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.387: [GC (Allocation Failure) [PSYoungGen: 114272K->96K(111104K)] 116528K->2352K(286208K), 0.0006120 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
68.535: [GC (Allocation Failure) [PSYoungGen: 110688K->96K(108032K)] 112944K->2352K(283136K), 0.0005704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.644: [GC (Allocation Failure) [PSYoungGen: 107616K->32K(104960K)] 109872K->2288K(280064K), 0.0006751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.792: [GC (Allocation Failure) [PSYoungGen: 104480K->64K(101888K)] 106736K->2320K(276992K), 0.0013035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.891: [GC (Allocation Failure) [PSYoungGen: 101440K->96K(98816K)] 103696K->2352K(273920K), 0.0009988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.979: [GC (Allocation Failure) [PSYoungGen: 98400K->32K(96256K)] 100656K->2288K(271360K), 0.0005779 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
69.058: [GC (Allocation Failure) [PSYoungGen: 95776K->96K(93696K)] 98032K->2352K(268800K), 0.0005987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.134: [GC (Allocation Failure) [PSYoungGen: 93280K->64K(91136K)] 95536K->2320K(266240K), 0.0006606 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.240: [GC (Allocation Failure) [PSYoungGen: 90688K->96K(88576K)] 92944K->2352K(263680K), 0.0011134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.352: [GC (Allocation Failure) [PSYoungGen: 88160K->64K(804352K)] 90416K->2320K(979456K), 0.0012512 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
70.055: [GC (Allocation Failure) [PSYoungGen: 803904K->64K(767488K)] 806160K->2320K(942592K), 0.0013111 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
70.706: [GC (Allocation Failure) [PSYoungGen: 767040K->96K(732160K)] 769296K->2352K(907264K), 0.0005932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.279: [GC (Allocation Failure) [PSYoungGen: 731744K->96K(698880K)] 734000K->2376K(873984K), 0.0006890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.848: [GC (Allocation Failure) [PSYoungGen: 698464K->96K(667136K)] 700744K->2376K(842240K), 0.0006596 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
72.371: [GC (Allocation Failure) [PSYoungGen: 666720K->64K(636928K)] 669000K->2344K(812032K), 0.0015454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.897: [GC (Allocation Failure) [PSYoungGen: 636480K->64K(608256K)] 638760K->2344K(783360K), 0.0017910 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
73.373: [GC (Allocation Failure) [PSYoungGen: 607808K->64K(581120K)] 610088K->2344K(756224K), 0.0010823 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
73.793: [GC (Allocation Failure) [PSYoungGen: 580672K->64K(555520K)] 582952K->2344K(730624K), 0.0005414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.220: [GC (Allocation Failure) [PSYoungGen: 555072K->32K(530944K)] 557352K->2312K(706048K), 0.0015108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.619: [GC (Allocation Failure) [PSYoungGen: 530464K->96K(507392K)] 532744K->2376K(682496K), 0.0005342 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.010: [GC (Allocation Failure) [PSYoungGen: 506976K->96K(485376K)] 509256K->2376K(660480K), 0.0005591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.397: [GC (Allocation Failure) [PSYoungGen: 484960K->64K(464384K)] 487240K->2344K(639488K), 0.0005648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.784: [GC (Allocation Failure) [PSYoungGen: 463936K->96K(444416K)] 466216K->2376K(619520K), 0.0011878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.172: [GC (Allocation Failure) [PSYoungGen: 444000K->32K(425472K)] 446280K->2312K(600576K), 0.0005669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.493: [GC (Allocation Failure) [PSYoungGen: 424992K->64K(407552K)] 427272K->2344K(582656K), 0.0005930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.800: [GC (Allocation Failure) [PSYoungGen: 407104K->64K(390144K)] 409384K->2344K(565248K), 0.0011311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.118: [GC (Allocation Failure) [PSYoungGen: 389696K->64K(373760K)] 391976K->2344K(548864K), 0.0006067 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
77.395: [GC (Allocation Failure) [PSYoungGen: 373312K->64K(357888K)] 375592K->2344K(532992K), 0.0005999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.680: [GC (Allocation Failure) [PSYoungGen: 357440K->64K(343040K)] 359720K->2344K(518144K), 0.0010862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.958: [GC (Allocation Failure) [PSYoungGen: 342592K->32K(328704K)] 344872K->2312K(503808K), 0.0011094 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
78.195: [GC (Allocation Failure) [PSYoungGen: 328224K->96K(315392K)] 330504K->2376K(490496K), 0.0005966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.427: [GC (Allocation Failure) [PSYoungGen: 314976K->96K(302592K)] 317256K->2376K(477696K), 0.0005826 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
78.650: [GC (Allocation Failure) [PSYoungGen: 302176K->64K(290304K)] 304456K->2344K(465408K), 0.0005821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.882: [GC (Allocation Failure) [PSYoungGen: 289856K->64K(278528K)] 292136K->2344K(453632K), 0.0011709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.086: [GC (Allocation Failure) [PSYoungGen: 278080K->64K(267776K)] 280360K->2344K(442880K), 0.0005869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.273: [GC (Allocation Failure) [PSYoungGen: 267328K->96K(257536K)] 269608K->2376K(432640K), 0.0005311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.472: [GC (Allocation Failure) [PSYoungGen: 257120K->64K(247296K)] 259400K->2344K(422400K), 0.0014720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.671: [GC (Allocation Failure) [PSYoungGen: 246848K->64K(237568K)] 249128K->2344K(412672K), 0.0009447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.850: [GC (Allocation Failure) [PSYoungGen: 237120K->96K(228352K)] 239400K->2376K(403456K), 0.0005404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.014: [GC (Allocation Failure) [PSYoungGen: 227936K->64K(219648K)] 230216K->2344K(394752K), 0.0008597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.173: [GC (Allocation Failure) [PSYoungGen: 219200K->32K(211456K)] 221480K->2312K(386560K), 0.0005368 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
80.323: [GC (Allocation Failure) [PSYoungGen: 210976K->64K(203776K)] 213256K->2344K(378880K), 0.0005365 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
80.469: [GC (Allocation Failure) [PSYoungGen: 203328K->96K(196096K)] 205608K->2400K(371200K), 0.0005436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.610: [GC (Allocation Failure) [PSYoungGen: 195680K->96K(188928K)] 197984K->2400K(364032K), 0.0005306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.742: [GC (Allocation Failure) [PSYoungGen: 188512K->96K(182272K)] 190816K->2400K(357376K), 0.0007412 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.872: [GC (Allocation Failure) [PSYoungGen: 181856K->64K(175616K)] 184160K->2368K(350720K), 0.0005181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.996: [GC (Allocation Failure) [PSYoungGen: 175168K->96K(169472K)] 177472K->2400K(344576K), 0.0005159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.120: [GC (Allocation Failure) [PSYoungGen: 169056K->64K(163840K)] 171360K->2368K(338944K), 0.0005862 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
81.280: [GC (Allocation Failure) [PSYoungGen: 163392K->32K(158208K)] 165696K->2336K(333312K), 0.0016657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.443: [GC (Allocation Failure) [PSYoungGen: 157728K->64K(153088K)] 160032K->2368K(328192K), 0.0010310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.581: [GC (Allocation Failure) [PSYoungGen: 152640K->64K(147968K)] 154944K->2368K(323072K), 0.0011078 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
81.755: [GC (Allocation Failure) [PSYoungGen: 147520K->32K(143360K)] 149824K->2336K(318464K), 0.0016188 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
81.900: [GC (Allocation Failure) [PSYoungGen: 142880K->96K(138752K)] 145184K->2400K(313856K), 0.0005933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.026: [GC (Allocation Failure) [PSYoungGen: 138336K->96K(134144K)] 140640K->2400K(309248K), 0.0005692 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.130: [GC (Allocation Failure) [PSYoungGen: 133728K->64K(130048K)] 136032K->2368K(305152K), 0.0006105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.236: [GC (Allocation Failure) [PSYoungGen: 129600K->96K(125952K)] 131904K->2400K(301056K), 0.0006100 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
82.336: [GC (Allocation Failure) [PSYoungGen: 125536K->64K(121856K)] 127840K->2368K(296960K), 0.0007795 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
82.432: [GC (Allocation Failure) [PSYoungGen: 121408K->64K(118272K)] 123712K->2368K(293376K), 0.0005641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.523: [GC (Allocation Failure) [PSYoungGen: 117824K->32K(114688K)] 120128K->2336K(289792K), 0.0006121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.611: [GC (Allocation Failure) [PSYoungGen: 114208K->96K(111104K)] 116512K->2400K(286208K), 0.0005980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.695: [GC (Allocation Failure) [PSYoungGen: 110688K->64K(108032K)] 112992K->2368K(283136K), 0.0005823 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.775: [GC (Allocation Failure) [PSYoungGen: 107584K->96K(104960K)] 109888K->2400K(280064K), 0.0005599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.851: [GC (Allocation Failure) [PSYoungGen: 104544K->64K(101888K)] 106848K->2368K(276992K), 0.0005376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.924: [GC (Allocation Failure) [PSYoungGen: 101440K->96K(98816K)] 103744K->2400K(273920K), 0.0005793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.996: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100704K->2400K(271360K), 0.0006361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.066: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 98144K->2400K(268800K), 0.0005536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.132: [GC (Allocation Failure) [PSYoungGen: 93280K->96K(91136K)] 95584K->2400K(266240K), 0.0005411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.196: [GC (Allocation Failure) [PSYoungGen: 90720K->96K(88576K)] 93024K->2400K(263680K), 0.0005977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.259: [GC (Allocation Failure) [PSYoungGen: 88160K->96K(804352K)] 90464K->2400K(979456K), 0.0005175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.904: [GC (Allocation Failure) [PSYoungGen: 803936K->64K(767488K)] 806240K->2368K(942592K), 0.0011777 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
84.524: [GC (Allocation Failure) [PSYoungGen: 767040K->32K(732160K)] 769344K->2336K(907264K), 0.0011519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.085: [GC (Allocation Failure) [PSYoungGen: 731680K->64K(698880K)] 733984K->2368K(873984K), 0.0005673 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
85.619: [GC (Allocation Failure) [PSYoungGen: 698432K->96K(667136K)] 700736K->2400K(842240K), 0.0005455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.100: [GC (Allocation Failure) [PSYoungGen: 666720K->96K(636928K)] 669024K->2400K(812032K), 0.0005497 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.552: [GC (Allocation Failure) [PSYoungGen: 636512K->96K(608256K)] 638816K->2400K(783360K), 0.0005311 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
86.968: [GC (Allocation Failure) [PSYoungGen: 607840K->64K(581120K)] 610144K->2368K(756224K), 0.0005063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.361: [GC (Allocation Failure) [PSYoungGen: 580672K->96K(555520K)] 582976K->2400K(730624K), 0.0005212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.795: [GC (Allocation Failure) [PSYoungGen: 555104K->64K(530944K)] 557408K->2368K(706048K), 0.0010521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.242: [GC (Allocation Failure) [PSYoungGen: 530496K->96K(507392K)] 532800K->2400K(682496K), 0.0005437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.690: [GC (Allocation Failure) [PSYoungGen: 506976K->96K(485376K)] 509280K->2400K(660480K), 0.0005918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.075: [GC (Allocation Failure) [PSYoungGen: 484960K->64K(464384K)] 487264K->2368K(639488K), 0.0014181 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
89.460: [GC (Allocation Failure) [PSYoungGen: 463936K->96K(444416K)] 466240K->2400K(619520K), 0.0005999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.825: [GC (Allocation Failure) [PSYoungGen: 444000K->96K(425472K)] 446304K->2400K(600576K), 0.0005939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.142: [GC (Allocation Failure) [PSYoungGen: 425056K->96K(407552K)] 427360K->2400K(582656K), 0.0005678 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
90.458: [GC (Allocation Failure) [PSYoungGen: 407136K->96K(390144K)] 409440K->2400K(565248K), 0.0006086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.784: [GC (Allocation Failure) [PSYoungGen: 389728K->96K(373760K)] 392032K->2424K(548864K), 0.0014113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.064: [GC (Allocation Failure) [PSYoungGen: 373344K->96K(357888K)] 375672K->2424K(532992K), 0.0005535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.323: [GC (Allocation Failure) [PSYoungGen: 357472K->96K(343040K)] 359800K->2424K(518144K), 0.0005384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.603: [GC (Allocation Failure) [PSYoungGen: 342624K->96K(328704K)] 344952K->2424K(503808K), 0.0005598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.842: [GC (Allocation Failure) [PSYoungGen: 328288K->96K(315392K)] 330616K->2424K(490496K), 0.0005430 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
92.067: [GC (Allocation Failure) [PSYoungGen: 314976K->64K(302592K)] 317304K->2392K(477696K), 0.0005323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.285: [GC (Allocation Failure) [PSYoungGen: 302144K->64K(290304K)] 304472K->2392K(465408K), 0.0011017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.519: [GC (Allocation Failure) [PSYoungGen: 289856K->96K(278528K)] 292184K->2424K(453632K), 0.0005697 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.718: [GC (Allocation Failure) [PSYoungGen: 278112K->64K(267776K)] 280440K->2392K(442880K), 0.0005495 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.906: [GC (Allocation Failure) [PSYoungGen: 267328K->96K(257536K)] 269656K->2424K(432640K), 0.0005429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.102: [GC (Allocation Failure) [PSYoungGen: 257120K->32K(247296K)] 259448K->2360K(422400K), 0.0014966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.301: [GC (Allocation Failure) [PSYoungGen: 246816K->96K(237568K)] 249144K->2424K(412672K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.470: [GC (Allocation Failure) [PSYoungGen: 237152K->96K(228352K)] 239480K->2424K(403456K), 0.0046392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.634: [GC (Allocation Failure) [PSYoungGen: 227936K->96K(219648K)] 230264K->2424K(394752K), 0.0005436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.789: [GC (Allocation Failure) [PSYoungGen: 219232K->64K(211456K)] 221560K->2392K(386560K), 0.0005411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.936: [GC (Allocation Failure) [PSYoungGen: 211008K->96K(203776K)] 213336K->2424K(378880K), 0.0005410 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
94.092: [GC (Allocation Failure) [PSYoungGen: 203360K->96K(196096K)] 205688K->2424K(371200K), 0.0008463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.243: [GC (Allocation Failure) [PSYoungGen: 195680K->64K(188928K)] 198008K->2392K(364032K), 0.0011277 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
94.378: [GC (Allocation Failure) [PSYoungGen: 188480K->96K(182272K)] 190808K->2424K(357376K), 0.0005364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.507: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(175616K)] 184184K->2424K(350720K), 0.0005381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.630: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 177528K->2424K(344576K), 0.0005369 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.749: [GC (Allocation Failure) [PSYoungGen: 169056K->64K(163840K)] 171384K->2392K(338944K), 0.0005537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.865: [GC (Allocation Failure) [PSYoungGen: 163392K->96K(158208K)] 165720K->2424K(333312K), 0.0005775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.978: [GC (Allocation Failure) [PSYoungGen: 157792K->64K(153088K)] 160120K->2392K(328192K), 0.0006320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.086: [GC (Allocation Failure) [PSYoungGen: 152640K->96K(147968K)] 154968K->2424K(323072K), 0.0005280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.187: [GC (Allocation Failure) [PSYoungGen: 147552K->96K(143360K)] 149880K->2424K(318464K), 0.0005317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.286: [GC (Allocation Failure) [PSYoungGen: 142944K->96K(138752K)] 145272K->2424K(313856K), 0.0005376 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
95.380: [GC (Allocation Failure) [PSYoungGen: 138336K->64K(134144K)] 140664K->2392K(309248K), 0.0005378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.472: [GC (Allocation Failure) [PSYoungGen: 133696K->64K(130048K)] 136024K->2392K(305152K), 0.0005339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.560: [GC (Allocation Failure) [PSYoungGen: 129600K->96K(125952K)] 131928K->2424K(301056K), 0.0005399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.646: [GC (Allocation Failure) [PSYoungGen: 125536K->96K(121856K)] 127864K->2424K(296960K), 0.0005259 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
95.728: [GC (Allocation Failure) [PSYoungGen: 121440K->64K(118272K)] 123768K->2392K(293376K), 0.0005310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.811: [GC (Allocation Failure) [PSYoungGen: 117824K->96K(114688K)] 120152K->2424K(289792K), 0.0005295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.889: [GC (Allocation Failure) [PSYoungGen: 114272K->96K(111104K)] 116600K->2424K(286208K), 0.0005647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.964: [GC (Allocation Failure) [PSYoungGen: 110688K->64K(108032K)] 113016K->2392K(283136K), 0.0005132 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.043: [GC (Allocation Failure) [PSYoungGen: 107584K->0K(104960K)] 109912K->2328K(280064K), 0.0005266 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.114: [GC (Allocation Failure) [PSYoungGen: 104448K->96K(101888K)] 106776K->2424K(276992K), 0.0005177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.183: [GC (Allocation Failure) [PSYoungGen: 101472K->64K(98816K)] 103800K->2392K(273920K), 0.0005624 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
96.250: [GC (Allocation Failure) [PSYoungGen: 98368K->96K(96256K)] 100696K->2424K(271360K), 0.0005144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.316: [GC (Allocation Failure) [PSYoungGen: 95840K->64K(93696K)] 98168K->2392K(268800K), 0.0005477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.380: [GC (Allocation Failure) [PSYoungGen: 93248K->64K(91136K)] 95576K->2392K(266240K), 0.0005125 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.441: [GC (Allocation Failure) [PSYoungGen: 90688K->64K(88576K)] 93016K->2392K(263680K), 0.0005673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.500: [GC (Allocation Failure) [PSYoungGen: 88128K->96K(804352K)] 90456K->2424K(979456K), 0.0004990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.035: [GC (Allocation Failure) [PSYoungGen: 803936K->32K(767488K)] 806264K->2360K(942592K), 0.0005386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.543: [GC (Allocation Failure) [PSYoungGen: 767008K->96K(732160K)] 769336K->2424K(907264K), 0.0005121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.042: [GC (Allocation Failure) [PSYoungGen: 731744K->64K(698880K)] 734072K->2392K(873984K), 0.0010109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.525: [GC (Allocation Failure) [PSYoungGen: 698432K->96K(667136K)] 700760K->2424K(842240K), 0.0005085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.975: [GC (Allocation Failure) [PSYoungGen: 666720K->64K(636928K)] 669048K->2392K(812032K), 0.0005151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.398: [GC (Allocation Failure) [PSYoungGen: 636480K->64K(608256K)] 638808K->2392K(783360K), 0.0005111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.804: [GC (Allocation Failure) [PSYoungGen: 607808K->96K(581120K)] 610136K->2424K(756224K), 0.0005295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.191: [GC (Allocation Failure) [PSYoungGen: 580704K->96K(555520K)] 583032K->2424K(730624K), 0.0005228 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
Heap
 PSYoungGen      total 555520K, used 148134K [0x000000076ab00000, 0x000000079bd00000, 0x00000007c0000000)
  eden space 555008K, 26% used [0x000000076ab00000,0x0000000773b91810,0x000000078c900000)
  from space 512K, 18% used [0x000000079bc00000,0x000000079bc18000,0x000000079bc80000)
  to   space 512K, 0% used [0x000000079bc80000,0x000000079bc80000,0x000000079bd00000)
 ParOldGen       total 175104K, used 2328K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 1% used [0x00000006c0000000,0x00000006c0246000,0x00000006cab00000)
 Metaspace       used 10323K, capacity 10538K, committed 10752K, reserved 1058816K
  class space    used 1131K, capacity 1197K, committed 1280K, reserved 1048576K
